date,quantity
2014-01-01,14
2014-02-01,22
2014-03-01,31
2014-04-01,42
2014-05-01,24
2014-06-01,19
2014-07-01,58
2014-08-01,69
2014-09-01,78
2014-10-01,48
2014-11-01,80
2014-12-01,95
2015-01-01,9
2015-02-01,31
2015-03-01,28
2015-04-01,46
2015-05-01,28
2015-06-01,29
2015-07-01,56
2015-08-01,43
2015-09-01,86
2015-10-01,53
2015-11-01,90
2015-12-01,136
2016-01-01,37
2016-02-01,14
2016-03-01,45
2016-04-01,32
2016-05-01,62
2016-06-01,49
2016-07-01,24
2016-08-01,59
2016-09-01,75
2016-10-01,44
2016-11-01,139
2016-12-01,102
2017-01-01,51
2017-02-01,16
2017-03-01,79
2017-04-01,51
2017-05-01,81
2017-06-01,86
2017-07-01,78
2017-08-01,63
2017-09-01,177
2017-10-01,82
2017-11-01,179
2017-12-01,136
