date,quantity
2014-01-01,16
2014-03-01,17
2014-04-01,3
2014-05-01,9
2014-06-01,9
2014-07-01,9
2014-08-01,13
2014-09-01,15
2014-10-01,6
2014-11-01,39
2014-12-01,17
2015-01-01,14
2015-02-01,4
2015-03-01,18
2015-04-01,14
2015-05-01,12
2015-06-01,6
2015-07-01,29
2015-08-01,26
2015-09-01,34
2015-10-01,12
2015-11-01,48
2015-12-01,25
2016-01-01,14
2016-02-01,2
2016-03-01,15
2016-04-01,19
2016-06-01,17
2016-07-01,19
2016-08-01,8
2016-09-01,40
2016-10-01,10
2016-11-01,31
2016-12-01,22
2017-01-01,4
2017-02-01,12
2017-03-01,11
2017-04-01,35
2017-05-01,39
2017-06-01,39
2017-07-01,13
2017-08-01,7
2017-09-01,23
2017-10-01,26
2017-11-01,17
2017-12-01,50
