date,quantity
2014-01-01,28
2014-02-01,8
2014-03-01,52
2014-04-01,65
2014-05-01,19
2014-06-01,34
2014-07-01,59
2014-08-01,33
2014-09-01,92
2014-10-01,80
2014-11-01,103
2014-12-01,100
2015-01-01,5
2015-02-01,11
2015-03-01,54
2015-04-01,33
2015-05-01,46
2015-06-01,32
2015-07-01,36
2015-08-01,84
2015-09-01,129
2015-10-01,57
2015-11-01,112
2015-12-01,56
2016-01-01,31
2016-02-01,36
2016-03-01,37
2016-04-01,65
2016-05-01,68
2016-06-01,74
2016-07-01,65
2016-08-01,23
2016-09-01,113
2016-10-01,71
2016-11-01,115
2016-12-01,110
2017-01-01,59
2017-02-01,24
2017-03-01,68
2017-04-01,45
2017-05-01,60
2017-06-01,103
2017-07-01,61
2017-08-01,99
2017-09-01,114
2017-10-01,84
2017-11-01,174
2017-12-01,131
